source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
landing,sales_data 2,transaction_id,bronze,sales_data 2_bronze,transaction_id,type_cast,int
landing,sales_data 2,transaction_date,bronze,sales_data 2_bronze,transaction_date,type_cast,datetime
landing,sales_data 2,store_id,bronze,sales_data 2_bronze,store_id,type_cast,int
landing,sales_data 2,product_id,bronze,sales_data 2_bronze,product_id,type_cast,int
landing,sales_data 2,product_name,bronze,sales_data 2_bronze,product_name,type_cast,str
landing,sales_data 2,category,bronze,sales_data 2_bronze,category,type_cast,str
landing,sales_data 2,quantity,bronze,sales_data 2_bronze,quantity,type_cast,int
landing,sales_data 2,unit_price,bronze,sales_data 2_bronze,unit_price,type_cast,float
landing,sales_data 2,total_amount,bronze,sales_data 2_bronze,total_amount,type_cast,float
landing,sales_data 2,customer_segment,bronze,sales_data 2_bronze,customer_segment,type_cast,str
landing,sales_data 2,payment_method,bronze,sales_data 2_bronze,payment_method,type_cast,str
landing,sales_data 2,_load_timestamp,bronze,sales_data 2_bronze,_load_timestamp,metadata_inject,datetime_now_utc
landing,sales_data 2,_source_file,bronze,sales_data 2_bronze,_source_file,metadata_inject,source_path
landing,products 3,product_id,bronze,products 3_bronze,product_id,type_cast,int
landing,products 3,product_name,bronze,products 3_bronze,product_name,type_cast,str
landing,products 3,category,bronze,products 3_bronze,category,type_cast,str
landing,products 3,standard_price,bronze,products 3_bronze,standard_price,type_cast,float
landing,products 3,_load_timestamp,bronze,products 3_bronze,_load_timestamp,metadata_inject,datetime_now_utc
landing,products 3,_source_file,bronze,products 3_bronze,_source_file,metadata_inject,source_path
landing,stores 3,store_id,bronze,stores 3_bronze,store_id,type_cast,int
landing,stores 3,store_name,bronze,stores 3_bronze,store_name,type_cast,str
landing,stores 3,region,bronze,stores 3_bronze,region,type_cast,str
landing,stores 3,city,bronze,stores 3_bronze,city,type_cast,str
landing,stores 3,state,bronze,stores 3_bronze,state,type_cast,str
landing,stores 3,_load_timestamp,bronze,stores 3_bronze,_load_timestamp,metadata_inject,datetime_now_utc
landing,stores 3,_source_file,bronze,stores 3_bronze,_source_file,metadata_inject,source_path
